Designator,Manufacturer Part Number,Quantity
"C1, C5, C6",CC0805KRX7R9BB104,3
R1,RC0805FR-0710KL,1
R7,RC0805FR-0710KL,1
X1,CSTCE16M0V53-R0,1
R2,RC0805FR-071KL,1
"C2, C4",CC0805ZRY5V8BB105,2
"R3, R5",RC0805FR-0727RL,2
"R4, R6",RC0805FR-0747RL ,2
U2,ATMEGA328P-MU,1
FT231XQ-R,FT231XQ-R,1
RX,LG R971-KN-1,1
IC3,MCP1703T-3302E/CB,1
U1,RFM69HCW,1
TX,LG R971-KN-1,1
D,SD0805S040S0R5,1
U$2,LG R971-KN-1,1
